;   characteristic Earth spectrum at quadrature phase
;   from Virtual Planetary Laboratory 3-D spectral Earth model:
;   Robinson, T.D, Meadows, V.S., et al. 2011, Astrobiology, 11, 393.
;
;   contact: Tyler Robinson (robinson.tyler.d@gmail.com)
;
;   wavelength    intensity   solar flux   reflectance
;     [um]      [W/m**2/um/sr][W/m**2/um]
     0.100584 -5.74778e-13     0.799118 -2.25964e-12
     0.100585 -5.74764e-13     0.799097 -2.25964e-12
     0.100586 -5.74749e-13     0.799077 -2.25964e-12
     0.100587 -5.74734e-13     0.799057 -2.25964e-12
     0.100588 -5.74720e-13     0.799036 -2.25964e-12
     0.100589 -5.74705e-13     0.799016 -2.25964e-12
     0.100590 -5.74691e-13     0.798996 -2.25964e-12
     0.100591 -5.74676e-13     0.798975 -2.25964e-12
     0.100592 -5.74662e-13     0.798955 -2.25964e-12
     0.100593 -5.74647e-13     0.798935 -2.25964e-12
     0.100595 -5.74632e-13     0.798915 -2.25964e-12
     0.100596 -5.74618e-13     0.798894 -2.25964e-12
     0.100597 -5.74603e-13     0.798874 -2.25964e-12
     0.100598 -5.74588e-13     0.798854 -2.25964e-12
     0.100599 -5.74574e-13     0.798833 -2.25964e-12
     0.100600 -5.74559e-13     0.798813 -2.25964e-12
     0.100601 -5.74545e-13     0.798793 -2.25964e-12
     0.100602 -5.74530e-13     0.798772 -2.25964e-12
     0.100603 -5.74515e-13     0.798752 -2.25964e-12
     0.100604 -5.74501e-13     0.798732 -2.25964e-12
     0.100605 -5.74486e-13     0.798712 -2.25964e-12
     0.100606 -5.74472e-13     0.798691 -2.25964e-12
     0.100607 -5.74457e-13     0.798671 -2.25964e-12
     0.100608 -5.74442e-13     0.798651 -2.25964e-12
     0.100609 -5.74428e-13     0.798630 -2.25964e-12
     0.100610 -5.74413e-13     0.798610 -2.25964e-12
     0.100611 -5.74399e-13     0.798590 -2.25964e-12
     0.100612 -5.74384e-13     0.798570 -2.25964e-12
     0.100613 -5.74369e-13     0.798549 -2.25964e-12
     0.100614 -5.74355e-13     0.798529 -2.25964e-12
     0.100615 -5.74340e-13     0.798509 -2.25964e-12
     0.100616 -5.74326e-13     0.798488 -2.25964e-12
     0.100617 -5.74311e-13     0.798468 -2.25964e-12
     0.100618 -5.74296e-13     0.798448 -2.25964e-12
     0.100619 -5.74282e-13     0.798427 -2.25964e-12
     0.100620 -5.74267e-13     0.798407 -2.25964e-12
     0.100621 -5.74253e-13     0.798387 -2.25964e-12
     0.100622 -5.74238e-13     0.798366 -2.25964e-12
     0.100623 -5.74223e-13     0.798346 -2.25964e-12
     0.100624 -5.74209e-13     0.798326 -2.25964e-12
     0.100625 -5.74194e-13     0.798305 -2.25964e-12
     0.100626 -5.74179e-13     0.798285 -2.25964e-12
     0.100627 -5.74165e-13     0.798265 -2.25964e-12
     0.100628 -5.74150e-13     0.798244 -2.25964e-12
     0.100629 -5.74136e-13     0.798224 -2.25964e-12
     0.100630 -5.74121e-13     0.798204 -2.25964e-12
     0.100631 -5.74107e-13     0.798184 -2.25964e-12
     0.100632 -5.74092e-13     0.798163 -2.25964e-12
     0.100633 -5.74077e-13     0.798143 -2.25964e-12
     0.100634 -5.74063e-13     0.798123 -2.25964e-12
     0.100635 -5.74048e-13     0.798102 -2.25964e-12
     0.100636 -5.74033e-13     0.798082 -2.25964e-12
     0.100637 -5.74019e-13     0.798062 -2.25964e-12
     0.100638 -5.74004e-13     0.798041 -2.25964e-12
     0.100639 -5.73990e-13     0.798021 -2.25964e-12
     0.100640 -5.73975e-13     0.798001 -2.25964e-12
     0.100641 -5.73960e-13     0.797980 -2.25964e-12
     0.100642 -5.73946e-13     0.797960 -2.25964e-12
     0.100643 -5.73931e-13     0.797940 -2.25964e-12
     0.100644 -5.73917e-13     0.797920 -2.25964e-12
     0.100645 -5.73902e-13     0.797899 -2.25964e-12
     0.100646 -5.73887e-13     0.797879 -2.25964e-12
     0.100647 -5.73873e-13     0.797859 -2.25964e-12
     0.100648 -5.73858e-13     0.797838 -2.25964e-12
     0.100649 -5.73843e-13     0.797818 -2.25964e-12
     0.100650 -5.73829e-13     0.797798 -2.25964e-12
     0.100651 -5.73814e-13     0.797777 -2.25964e-12
     0.100652 -5.73800e-13     0.797757 -2.25964e-12
     0.100653 -5.73785e-13     0.797737 -2.25964e-12
     0.100654 -5.73770e-13     0.797716 -2.25964e-12
     0.100655 -5.73756e-13     0.797696 -2.25964e-12
     0.100656 -5.73741e-13     0.797676 -2.25964e-12
     0.100657 -5.73727e-13     0.797655 -2.25964e-12
     0.100658 -5.73712e-13     0.797635 -2.25964e-12
     0.100659 -5.73697e-13     0.797615 -2.25964e-12
     0.100660 -5.73683e-13     0.797594 -2.25964e-12
     0.100661 -5.73668e-13     0.797574 -2.25964e-12
     0.100662 -5.73653e-13     0.797554 -2.25964e-12
     0.100663 -5.73639e-13     0.797533 -2.25964e-12
     0.100664 -5.73624e-13     0.797513 -2.25964e-12
     0.100665 -5.73610e-13     0.797493 -2.25964e-12
     0.100666 -5.73595e-13     0.797472 -2.25964e-12
